name	address	website	archive_oldest	archive_newest	offers repair	First Price Date	First Price	First Price (Inflation adjusted)	First Price Source	Current Price Date	Current Price	Current Price Source	lat	lon
Räderei	Neulinggasse 34, 1030 Wien	http://www.raederei.at			Yes	2018-09-03	48		https://web.archive.org/web/20180903224423/http://www.raederei.at/Unsere-Produkte/	2025-07-23	58	http://www.raederei.at/Werkstatt/	48.1991626	16.3865065
Re.bicycle	Widerhofergasse 5, 1090 Wien	https://www.reparaturnetzwerk.at			Non-commercial								48.2233748	16.35478
Fahrradmeister	Margaretenstraße 32, 1040 Wien	https://www.fahrradmeister.at/			Yes	2015-01-01	65	88,90	https://web.archive.org/web/20150101031248/http://www.fahrradmeister.at/fahrradservice.htm	2025-07-23	115	https://www.fahrradmeister.at/werkstatt	48.1961627	16.3642001
Zweirad Ortner bike & more	Untere Augartenstraße 32, 1020 Wien	www.zweiradortner.com			Yes	2016-11-09	80		https://web.archive.org/web/20161109033703/http://www.zweiradortner.com/leistungen/reparatur-wartung-und-service	2025-07-23	129	http://www.zweiradortner.com/leistungen/reparatur-wartung-und-service	48.2212307	16.373962
Argus Shop	Frankenberggasse 11, 1040 Wien	https://argusshop.org			No prices online								48.1973645	16.3681997
Metallhase.at	Mollardgasse 12A/5, 1060 Wien	https://www.metallhase.at/			No prices online								48.1928398	16.352473
Willinger Peugeot Fahrräder	Mollardgasse 20, 1060 Wien				No prices online								48.1918588	16.3517058
Radpunkt	Schmalzhofgasse 10, 1060 Wien	https://www.radpunkt.at/			Yes	2019-05-04	95		https://web.archive.org/web/20190504042210/https://www.radpunkt.at/	2025-07-23	119	https://www.radpunkt.at/#services	48.1958379	16.3468877
Maderna Cycle Systems - Werkstatt	Grundsteingasse 11, 1160 Wien	https://www.mcsbike.com/			Does not offer service								48.2095704	16.3373087
Rad&Service Oberlaa	Oberlaaer Straße 105, 1100 Wien	https://www.radserviceoberlaa.at/			Yes (Kettenblatt wechseln)	2022-05-17	29		https://web.archive.org/web/20220517132108/https://www.radserviceoberlaa.at/werkstattpreise/	2025-07-23	33	https://www.radserviceoberlaa.at/werkstattpreise/	48.1383285	16.395138
Faul Manfred Fahrradwerkstatt	Lorystraße 39, 1110 Wien				No website								48.1728689	16.4131571
Maroitalia	Schrutkagasse 6, 1130 Wien	https://www.maroitalia.com/			Does not offer service								48.182381	16.2798846
RLS Sport	Josef-Palme-Platz 2, 1140 Wien	http://www.rls-sport.at/			Yes	2016-06-08	120		https://web.archive.org/web/20160608211727/http://www.rls-sport.at/index.php?id=21	2025-07-23	145	https://www.rls-sport.at/index.php?id=3	48.2090641	16.212576
Fahrrad Eck	Gräffergasse 1, 1170 Wien	https://fahrrad-eck.at/			Yes	2021-03-04	99		https://web.archive.org/web/20210304132300/https://www.fahrrad-eck.at/fahrrad-service/	2025-07-23	109	https://fahrrad-eck.at/fahrrad-service/	48.2238142	16.3154469
Pbike	Jörgerstraße 31, 1170 Wien	https://www.pbike.at/			Yes	2017-04-07	129		https://web.archive.org/web/20170407014438/http://pbike.at/fahrradservice/#1459176102985-eab4a4f5-6bff	2025-07-23	209	https://www.pbike.at/premium-service-708	48.2174641	16.3365582
Fahrrad18	Schindlergasse 19, 1180 Wien	http://www.fahrrad18.at			No prices online (No Current Price)	2018-09-05	68		https://web.archive.org/web/20180905200834/http://fahrrad18.at/wordpress/?page_id=17	2025-07-23	-	https://fahrrad18.at/?page_id=27	48.2300512	16.325847
Beranek	Rathstraße 28, 1190 Wien				No website								48.2510255	16.3047259
Biber Sport Service	Soldanellenweg 53, 1220 Wien	https://bibersport.at/			Yes	2017-04-29	85		https://web.archive.org/web/20170429082833/http://bibersport.at/	2025-07-23	159	https://bibersport.at/sommer	48.2236354	16.4887934
RadStefan	Matznergasse 26, 1140 Wien				No website								48.1962401	16.3041164
Izi Ride	Neustiftgasse 135, 1070 Wien	https://iziride.at			No prices online								48.2058926	16.3401896
VeloCity	Ottakringer Straße 71, 1160 Wien	https://www.velo-city.at/			Yes (Hourly rate)	2025-07-23	90		https://www.velo-city.at/werkstatt.html	2025-07-23	90	https://www.velo-city.at/werkstatt.html	48.2135783	16.3285804
Fahrraddiscounter.at	Hernalser Hauptstraße 122, 1170 Wien	https://fahrraddiscounter.at/			Yes	2025-07-23	160		https://fahrraddiscounter.at/Fahrradwerkstatt-Hernals-Ottakring-Waehring	2025-07-23	160	https://fahrraddiscounter.at/Fahrradwerkstatt-Hernals-Ottakring-Waehring	48.2207985	16.3239607
Dr Bike	Maria-Tusch-Straße 9, 1220 Wien	http://www.dr-bike.at			Yes	2018-08-23	80		https://web.archive.org/web/20180823042349/https://dr-bike.at/Service.php	2024-08-13	80	https://web.archive.org/web/20240813051622/https://dr-bike.at/Service.php	48.2248359	16.4988808
m-way	Rennweg 21, 1030 Wien	https://m-way.at/			No prices online (No First Price)					2025-07-23	299	https://m-way.com/de-at/service/	48.1967194	16.3814046
Heavy Pedals	Am Hundsturm 1, 1050 Wien	https://heavypedals.at/			No prices online					2025-07-23		https://heavypedals.at/werkstatt/	48.1873143	16.3472505
velo peaches	Spitalgasse 3, 1090 Wien	https://www.velopeaches.com/			Yes	2023-05-31	199		https://web.archive.org/web/20230531095821/https://www.velopeaches.com/	2025-07-23	200	https://www.velopeaches.com/	48.2160487	16.3509687
